,timestamp,date,day number,weekends,activity number,segment,activity count
179,1570770000,2019-10-11 11:00:00,5,1,0,1,0
180,1570773600,2019-10-11 12:00:00,5,1,0,2,0
181,1570777200,2019-10-11 13:00:00,5,1,0,2,0
182,1570780800,2019-10-11 14:00:00,5,1,0,2,0
183,1570784400,2019-10-11 15:00:00,5,1,0,2,0
184,1570788000,2019-10-11 16:00:00,5,1,0,2,0
185,1570791600,2019-10-11 17:00:00,5,1,0,2,0
186,1570795200,2019-10-11 18:00:00,5,1,0,3,0
187,1570798800,2019-10-11 19:00:00,5,1,0,3,0
188,1570802400,2019-10-11 20:00:00,5,1,0,3,0
189,1570806000,2019-10-11 21:00:00,5,1,0,3,0
190,1570809600,2019-10-11 22:00:00,5,1,0,3,0
191,1570813200,2019-10-11 23:00:00,5,1,0,3,0
192,1570989600,2019-10-14 00:00:00,1,1,0,0,0
193,1570993200,2019-10-14 01:00:00,1,1,0,0,0
194,1570996800,2019-10-14 02:00:00,1,1,0,0,0
195,1571000400,2019-10-14 03:00:00,1,1,0,0,0
196,1571004000,2019-10-14 04:00:00,1,1,0,0,0
197,1571007600,2019-10-14 05:00:00,1,1,0,0,0
198,1571011200,2019-10-14 06:00:00,1,1,0,1,0
199,1571014800,2019-10-14 07:00:00,1,1,0,1,0
200,1571018400,2019-10-14 08:00:00,1,1,0,1,0
201,1571022000,2019-10-14 09:00:00,1,1,0,1,0
202,1571025600,2019-10-14 10:00:00,1,1,0,1,0
203,1571029200,2019-10-14 11:00:00,1,1,0,1,0
204,1571032800,2019-10-14 12:00:00,1,1,0,2,0
205,1571036400,2019-10-14 13:00:00,1,1,0,2,0
206,1571040000,2019-10-14 14:00:00,1,1,0,2,0
207,1571043600,2019-10-14 15:00:00,1,1,0,2,0
208,1571047200,2019-10-14 16:00:00,1,1,0,2,0
209,1571050800,2019-10-14 17:00:00,1,1,0,2,0
210,1571054400,2019-10-14 18:00:00,1,1,0,3,0
211,1571058000,2019-10-14 19:00:00,1,1,0,3,0
212,1571061600,2019-10-14 20:00:00,1,1,0,3,536
213,1571065200,2019-10-14 21:00:00,1,1,0,3,0
214,1571068800,2019-10-14 22:00:00,1,1,0,3,0
215,1571072400,2019-10-14 23:00:00,1,1,0,3,0
216,1570989600,2019-10-14 00:00:00,1,1,0,0,0
217,1570993200,2019-10-14 01:00:00,1,1,0,0,0
218,1570996800,2019-10-14 02:00:00,1,1,0,0,0
219,1571000400,2019-10-14 03:00:00,1,1,0,0,0
220,1571004000,2019-10-14 04:00:00,1,1,0,0,0
221,1571007600,2019-10-14 05:00:00,1,1,0,0,0
222,1571011200,2019-10-14 06:00:00,1,1,0,1,0
223,1571014800,2019-10-14 07:00:00,1,1,0,1,0
224,1571018400,2019-10-14 08:00:00,1,1,0,1,0
225,1571022000,2019-10-14 09:00:00,1,1,0,1,0
226,1571025600,2019-10-14 10:00:00,1,1,0,1,0
227,1571029200,2019-10-14 11:00:00,1,1,0,1,0
228,1571032800,2019-10-14 12:00:00,1,1,0,2,0
229,1571036400,2019-10-14 13:00:00,1,1,0,2,0
230,1571040000,2019-10-14 14:00:00,1,1,0,2,0
231,1571043600,2019-10-14 15:00:00,1,1,0,2,0
232,1571047200,2019-10-14 16:00:00,1,1,0,2,0
233,1571050800,2019-10-14 17:00:00,1,1,0,2,0
234,1571054400,2019-10-14 18:00:00,1,1,0,3,0
235,1571058000,2019-10-14 19:00:00,1,1,0,3,0
236,1571061600,2019-10-14 20:00:00,1,1,0,3,744
237,1571065200,2019-10-14 21:00:00,1,1,0,3,0
238,1571068800,2019-10-14 22:00:00,1,1,0,3,0
239,1571072400,2019-10-14 23:00:00,1,1,0,3,0
240,1570989600,2019-10-14 00:00:00,1,1,0,0,0
241,1570993200,2019-10-14 01:00:00,1,1,0,0,0
242,1570996800,2019-10-14 02:00:00,1,1,0,0,0
243,1571000400,2019-10-14 03:00:00,1,1,0,0,0
244,1571004000,2019-10-14 04:00:00,1,1,0,0,0
245,1571007600,2019-10-14 05:00:00,1,1,0,0,0
246,1571011200,2019-10-14 06:00:00,1,1,0,1,0
247,1571014800,2019-10-14 07:00:00,1,1,0,1,0
248,1571018400,2019-10-14 08:00:00,1,1,0,1,0
249,1571022000,2019-10-14 09:00:00,1,1,0,1,0
250,1571025600,2019-10-14 10:00:00,1,1,0,1,0
251,1571029200,2019-10-14 11:00:00,1,1,0,1,0
252,1571032800,2019-10-14 12:00:00,1,1,0,2,0
253,1571036400,2019-10-14 13:00:00,1,1,0,2,0
254,1571040000,2019-10-14 14:00:00,1,1,0,2,0
255,1571043600,2019-10-14 15:00:00,1,1,0,2,439
256,1571047200,2019-10-14 16:00:00,1,1,0,2,0
257,1571050800,2019-10-14 17:00:00,1,1,0,2,0
258,1571054400,2019-10-14 18:00:00,1,1,0,3,0
259,1571058000,2019-10-14 19:00:00,1,1,0,3,0
